runs,player,team,season,match
46,LRPL Taylor,Chennai Super Kings,2,392229
17,LRPL Taylor,Chennai Super Kings,2,392243
20,LRPL Taylor,Chennai Super Kings,4,501245
6,LRPL Taylor,Chennai Super Kings,4,501254
24,LRPL Taylor,Chennai Super Kings,5,548385
8,LRPL Taylor,Chennai Super Kings,6,598020
6,LRPL Taylor,Chennai Super Kings,7,729298
10,M Kaif,Chennai Super Kings,1,336038
12,M Kaif,Chennai Super Kings,1,336045
14,M Kaif,Chennai Super Kings,3,419126
3,M Kartik,Chennai Super Kings,1,335998
21,M Kartik,Chennai Super Kings,3,419118
1,M Kartik,Chennai Super Kings,4,501231
4,M Kartik,Chennai Super Kings,5,548335
0,M Manhas,Chennai Super Kings,2,392211
32,M Manhas,Chennai Super Kings,3,419121
25,M Manhas,Chennai Super Kings,3,419160
20,M Manhas,Chennai Super Kings,4,501231
0,M Manhas,Chennai Super Kings,4,501233
2,M Morkel,Chennai Super Kings,6,598025
11,M Vijay,Chennai Super Kings,7,729298
35,M Vijay,Chennai Super Kings,7,733986
34,M Vijay,Chennai Super Kings,8,829758
16,M Vohra,Chennai Super Kings,6,598012
34,M Vohra,Chennai Super Kings,7,734052
4,M Vohra,Chennai Super Kings,8,829814
7,MA Agarwal,Chennai Super Kings,4,501216
34,MA Agarwal,Chennai Super Kings,4,501273
10,MA Agarwal,Chennai Super Kings,4,501276
45,MA Agarwal,Chennai Super Kings,5,548323
24,MA Agarwal,Chennai Super Kings,6,598017
2,MA Agarwal,Chennai Super Kings,7,729298
15,MA Agarwal,Chennai Super Kings,8,829712
9,MA Khote,Chennai Super Kings,1,335994
2,MA Starc,Chennai Super Kings,7,734040
9,MA Starc,Chennai Super Kings,8,829750
1,MA Starc,Chennai Super Kings,8,829784
1,MA Starc,Chennai Super Kings,8,829826
56,Mandeep Singh,Chennai Super Kings,5,548348
24,Mandeep Singh,Chennai Super Kings,5,548376
9,Mandeep Singh,Chennai Super Kings,6,598012
15,Mandeep Singh,Chennai Super Kings,6,598046
3,Mandeep Singh,Chennai Super Kings,7,733992
4,Mandeep Singh,Chennai Super Kings,8,829826
12,MC Henriques,Chennai Super Kings,6,598073
19,MC Henriques,Chennai Super Kings,8,829778
2,MC Juneja,Chennai Super Kings,6,598025
21,MD Mishra,Chennai Super Kings,3,419152
2,MD Mishra,Chennai Super Kings,3,419168
9,MD Mishra,Chennai Super Kings,4,501231
2,MD Mishra,Chennai Super Kings,4,501233
1,MEK Hussey,Chennai Super Kings,7,729308
39,MEK Hussey,Chennai Super Kings,7,734050
6,MG Johnson,Chennai Super Kings,6,598075
1,MG Johnson,Chennai Super Kings,6,598078
11,MG Johnson,Chennai Super Kings,7,733992
1,MG Johnson,Chennai Super Kings,7,734052
1,MG Johnson,Chennai Super Kings,8,829758
4,Misbah-ul-Haq,Chennai Super Kings,1,336034
30,MJ Lumb,Chennai Super Kings,3,419134
37,MJ Lumb,Chennai Super Kings,3,419142
48,MK Pandey,Chennai Super Kings,2,392243
20,MK Pandey,Chennai Super Kings,3,419128
5,MK Pandey,Chennai Super Kings,3,419138
12,MK Pandey,Chennai Super Kings,4,501231
